sku,pza_cja,kg_lt,cjs_pllt,pzs,cjs,pallets
C008,15,0.95,63,1.052631579,0.070175439,0.001113896
C009,21,0.25,143,4.0,0.19047619,0.001332001
C016,21,0.24,143,4.166666667,0.198412698,0.001387501
C017,15,0.95,63,1.052631579,0.070175439,0.001113896
C040,15,1.0,63,1.0,0.066666667,0.001058201
C041,2,10.0,52,0.1,0.05,0.000961538
COL003,21,0.25,143,4.0,0.19047619,0.001332001
COL004,15,0.95,63,1.052631579,0.070175439,0.001113896
E012,15,0.5,63,2.0,0.133333333,0.002116402
E050,24,1.0,40,1.0,0.041666667,0.001041667
E087,24,1.0,40,1.0,0.041666667,0.001041667
E168,1,5.0,100,0.2,0.2,0.002
ESP001,34,0.454,63,2.202643172,0.064783623,0.001028311
AGRODVG001,1,20.0,32,0.05,0.05,0.0015625
E048,15,0.5,63,2.0,0.133333333,0.002116402
E049,15,0.8,63,1.25,0.083333333,0.001322751
INL001,15,1.0,63,1.0,0.066666667,0.001058201
INL003,4,5.0,44,0.2,0.05,0.001136364
L001,15,0.95,63,1.052631579,0.070175439,0.001113896
L002,21,0.24,143,4.166666667,0.198412698,0.001387501
L005,15,0.95,63,1.052631579,0.070175439,0.001113896
L006,21,0.24,143,4.166666667,0.198412698,0.001387501
L020,15,0.95,63,1.052631579,0.070175439,0.001113896
L023,15,0.95,63,1.052631579,0.070175439,0.001113896
L024,4,5.0,44,0.2,0.05,0.001136364
L029,2,10.0,52,0.1,0.05,0.000961538
L044,15,0.95,63,1.052631579,0.070175439,0.001113896
L045,21,0.24,143,4.166666667,0.198412698,0.001387501
L048,15,0.95,63,1.052631579,0.070175439,0.001113896
L049,4,5.0,44,0.2,0.05,0.001136364
L084,15,0.95,63,1.052631579,0.070175439,0.001113896
L085,20,0.45,77,2.222222222,0.111111111,0.001443001
L086,48,0.24,66,4.166666667,0.086805556,0.001315236
L087,1,20.0,60,0.05,0.05,0.000833333
L094,1,25.0,60,0.04,0.04,0.000666667
L100,15,0.95,63,1.052631579,0.070175439,0.001113896
L105,21,0.24,143,4.166666667,0.198412698,0.001387501
L106,15,0.95,63,1.052631579,0.070175439,0.001113896
L107,21,0.24,143,4.166666667,0.198412698,0.001387501
L114,48,0.08,91,12.5,0.260416667,0.002861722
L120,15,0.95,63,1.052631579,0.070175439,0.001113896
L121,4,5.0,44,0.2,0.05,0.001136364
L142,15,0.95,63,1.052631579,0.070175439,0.001113896
L150,15,0.95,63,1.052631579,0.070175439,0.001113896
L164,15,0.95,63,1.052631579,0.070175439,0.001113896
L166,4,5.0,44,0.2,0.05,0.001136364
L167,21,0.24,143,4.166666667,0.198412698,0.001387501
L169,2,10.0,52,0.1,0.05,0.000961538
L201,15,0.95,63,1.052631579,0.070175439,0.001113896
L202,21,0.24,143,4.166666667,0.198412698,0.001387501
L213,15,0.95,63,1.052631579,0.070175439,0.001113896
L214,21,0.24,143,4.166666667,0.198412698,0.001387501
L216,2,10.0,52,0.1,0.05,0.000961538
L261,21,0.2,143,5.0,0.238095238,0.001665002
